Name,Latitude,Longitude,Location,Wheelchair,Red:33,Green:28,Blue:33,Brown:27,Purple:27,Pink:22,Orange:16,Yellow:3
Null,Null,Null,Null,Null,Null,Null,Null,Merchandise Mart,Merchandise Mart,Clinton,Roosevelt,Null
Harlem,41.88706,-87.80486,elevated,TRUE,-1,0,-1,-1,-1,-1,-1,-1
Oak Park,41.886784,-87.794324,elevated,FALSE,-1,1,-1,-1,-1,-1,-1,-1
Ridgeland,41.886784,-87.784628,elevated,FALSE,-1,2,-1,-1,-1,-1,-1,-1
Austin,41.887293,-87.774135,elevated,FALSE,-1,3,-1,-1,-1,-1,-1,-1
Central,41.887389,-87.76565,elevated,TRUE,-1,4,-1,-1,-1,-1,-1,-1
Laramie,41.887163,-87.754986,elevated,TRUE,-1,5,-1,-1,-1,-1,-1,-1
Cicero,41.886519,-87.744698,elevated,TRUE,-1,6,-1,-1,-1,-1,-1,-1
Pulaski,41.885412,-87.725404,elevated,TRUE,-1,7,-1,-1,-1,-1,-1,-1
Conservatory-Central Park Drive,41.884904,-87.716513,elevated,TRUE,-1,8,-1,-1,-1,-1,-1,-1
Kenzie,41.884321,-87.706155,elevated,TRUE,-1,9,-1,-1,-1,-1,-1,-1
California,41.88422,-87.696234,elevated,TRUE,-1,10,-1,-1,-1,-1,-1,-1
Ashland,41.885268,-87.666969,elevated,TRUE,-1,11,-1,-1,-1,11,-1,-1
Morgan,41.8856,-87.6522,elevated,TRUE,-1,12,-1,-1,-1,12,-1,-1
Clinton,41.885678,-87.641782,elevated,TRUE,-1,13,-1,-1,-1,13,-1,-1
Clark/Lake,41.885767,-87.630885,elevated,TRUE,-1,14,16,26,19,14,12,-1
State/Lake,41.88574,-87.627835,elevated,FALSE,-1,15,-1,25,20,15,13,-1
Washington/Wabash,41.8829,-87.626205,elevated,TRUE,-1,16,-1,24,21,16,14,-1
Adams/Wabash,41.884431,-87.6261,elevated,FALSE,-1,17,-1,23,22,17,15,-1
Roosevelt,41.867368,-87.627402,elevated/subway,TRUE,23,18,-1,-1,-1,-1,7,-1
Cermak-McCormick,41.8531548,-87.626423,elevated,TRUE,-1,19,-1,-1,-1,-1,-1,-1
35th-Bronzeville-IIT,41.831677,-87.625826,elevated,TRUE,-1,20,-1,-1,-1,-1,-1,-1
Indiana,41.821732,-87.621371,elevated,TRUE,-1,21,-1,-1,-1,-1,-1,-1
43rd,41.816462,-87.619021,elevated,TRUE,-1,22,-1,-1,-1,-1,-1,-1
47th,41.8094,-87.61909,elevated,TRUE,-1,23,-1,-1,-1,-1,-1,-1
51st,41.8022,-87.61903,elevated,TRUE,-1,24,-1,-1,-1,-1,-1,-1
Garfield,41.79454,-87.61835,elevated,TRUE,-1,25,-1,-1,-1,-1,-1,-1
Halsted,41.77954,-87.64468,elevated,TRUE,-1,26,-1,-1,-1,-1,-1,-1
Ashland/63rd,41.77943,-87.66393,elevated,TRUE,-1,27,-1,-1,-1,-1,-1,-1
47th,41.810318,-87.63094,surface,TRUE,26,-1,-1,-1,-1,-1,-1,-1
63rd,41.780536,-87.630952,surface,TRUE,28,-1,-1,-1,-1,-1,-1,-1
69th,41.768367,-87.625724,surface,TRUE,29,-1,-1,-1,-1,-1,-1,-1
79th,41.750419,-87.625112,surface,TRUE,30,-1,-1,-1,-1,-1,-1,-1
87th,41.735372,-87.624717,surface,TRUE,31,-1,-1,-1,-1,-1,-1,-1
95th/Dan Ryan,41.722377,-87.624342,surface,TRUE,32,-1,-1,-1,-1,-1,-1,-1
Addison,41.947428,-87.653626,elevated,TRUE,12,-1,-1,-1,-1,-1,-1,-1
Argyle,41.973453,-87.65853,embankment,FALSE,8,-1,-1,-1,-1,-1,-1,-1
Belmont,41.939751,-87.65338,elevated,TRUE,13,-1,-1,11,11,-1,-1,-1
Berwyn,41.977984,-87.658668,embankment,FALSE,7,-1,-1,-1,-1,-1,-1,-1
Bryn Mawr,41.983504,-87.65884,embankment,FALSE,6,-1,-1,-1,-1,-1,-1,-1
Cermak-Chinatown,41.853206,-87.630968,elevated,TRUE,24,-1,-1,-1,-1,-1,-1,-1
Chicago,41.896671,-87.628176,subway,TRUE,17,-1,-1,-1,-1,-1,-1,-1
Clark/Division,41.90392,-87.631412,subway,TRUE,16,-1,-1,-1,-1,-1,-1,-1
